Name,Country,Sector,Company
Taís Araújo,Brasil,Medios y Entretenimiento,HotMamma
Tereza Santos,Brasil,Hospitalidad,Sympla
Thiago Hering,Brasil,Comercio,Hering
Thiago Maffra,Brasil,Finanzas,XP
Thiaguinho,Brasil,Medios y Entretenimiento,Insurtech Azos e Paz & Bem
Tijana Jankovic,Brasil,Tecnología,Rappi Brasil
Tini Stoessel,Argentina,Medios y Entretenimiento,Varios
Tite,Brasil,Deportes,Selección Brasileña
Tânia Cosentino,Brasil,Tecnología,Microsoft
Vanessa Serrano Cuevas,México,Navíos y puertos,Grupo TMM
Verónica Marcelo,Argentina,Cosméticos,Natura
Verónica Pérez,México,Industria química,Dow Latam
Vicente Fenoll,México,Fintech,Kubo Financiero
Vicente Zavarce,Venezuela,Tecnología,Yummy
Vicky Safra,Brasil,Finanzas,Safra
Vinicius José Paixão de Oliveira Júnior,Brasil,Deportes,Real Madrid
Virgilio Martínez y Pía León,Perú,Hospitalidad,Central Restaurante
Viveka Kaitila,Brasil,Manufactura,GE
Vânia Nogueira de Alcântara Machado,Brasil,Farmacéutica,EDP
Wilson Ferreira Jr.,Brasil,Energía,Eletrobras
Ximena Behoteguy,Bolivia,Finanzas,Grupo CONFIE HOLDING
Xiomara Castro,Honduras,Servicio Público,Presidenta de la República
